trade_date,open,high,low,close,vol,amount,outstanding_share,turnover
2025-10-31,18.73,18.83,18.65,18.79,21850514.0,409532151.0,1701794667.0,0.012839688843612999
2025-11-03,18.79,18.79,18.45,18.65,23201753.0,430768476.0,1701794667.0,0.013633697090437527
2025-11-04,18.53,18.73,18.3,18.38,25781220.0,476940336.0,1701794667.0,0.01514943048061626
2025-11-05,18.18,18.57,18.13,18.43,20304709.0,372517238.0,1701794667.0,0.011931350705073047
2025-11-06,18.44,18.52,18.35,18.49,19658883.0,362468137.0,1701794667.0,0.0115518536878809
2025-11-07,18.46,18.46,18.16,18.18,24290871.0,442613368.0,1701794667.0,0.014273679117129352
2025-11-10,18.16,18.18,17.81,18.03,28158021.0,505544832.0,1701794667.0,0.01654607429792821
2025-11-11,18.0,18.14,17.93,17.96,17013900.0,306780224.0,1701794667.0,0.009997622116182128
2025-11-12,17.96,18.0,17.01,17.16,44102757.0,767249995.0,1701794667.0,0.025915439656269648
2025-11-13,17.14,17.52,17.11,17.41,25246234.0,438804865.0,1701794667.0,0.014835064705253304
2025-11-14,17.42,17.92,17.38,17.6,31131382.0,551733851.0,1701794667.0,0.01829326569396283
2025-11-17,18.4,19.29,18.4,18.99,101317523.0,1910132810.0,1701794667.0,0.059535691916702896
2025-11-18,19.0,19.07,17.85,17.86,67427539.0,1222326181.0,1701794667.0,0.03962143042724672
2025-11-19,17.66,18.62,17.6,18.18,53511413.0,973199998.0,1701794667.0,0.03144410664673919
2025-11-20,17.84,17.85,17.5,17.52,36625470.0,644786792.0,1701794667.0,0.021521673977604492
2025-11-21,17.25,17.83,16.86,17.28,45775073.0,794723309.0,1701794667.0,0.026898117550629274
2025-11-24,17.18,18.29,17.15,18.12,54571126.0,970122449.0,1701794667.0,0.03206680985562167
2025-11-25,17.75,17.89,17.53,17.68,43218585.0,766691863.0,1701794667.0,0.02539588696454647
2025-11-26,17.54,17.55,17.2,17.25,30177441.0,521052875.0,1701794667.0,0.017732715694307673
2025-11-27,17.22,17.35,17.18,17.22,17264941.0,297722021.0,1701794667.0,0.010145137562591739
2025-11-28,17.12,17.34,17.11,17.27,15743098.0,271292371.0,1701794667.0,0.009250879853650406
2025-12-01,17.2,17.37,17.17,17.31,17162603.0,296501346.0,1701794667.0,0.010085002223126605
2025-12-02,17.29,17.32,17.15,17.15,17511477.0,301143791.0,1701794667.0,0.010290005803620255
2025-12-03,17.12,17.16,16.88,16.89,19199754.0,324985127.0,1701794667.0,0.011282062620307882
2025-12-04,16.85,16.91,16.54,16.56,20832761.0,346644597.0,1701794667.0,0.012241641958324459
2025-12-05,16.51,16.71,16.31,16.69,21351888.0,353573322.0,1701794667.0,0.012546688748085023
2025-12-08,16.69,16.99,16.63,16.7,26657706.0,447220107.0,1701794667.0,0.015664466763780263
2025-12-09,16.6,16.7,16.35,16.39,23663797.0,389422079.0,1701794667.0,0.013905201055610078
2025-12-10,16.31,16.43,16.22,16.36,17876800.0,291434231.0,1701794667.0,0.010504675062540903
2025-12-11,16.41,16.45,16.05,16.08,22330557.0,361726180.0,1701794667.0,0.01312176929039583
2025-12-12,16.13,16.42,15.76,16.42,46263395.0,740629424.0,1701794667.0,0.027185062861640758
2025-12-15,16.23,16.25,15.9,15.91,28375380.0,456036119.0,1701794667.0,0.016673797697357575
2025-12-16,15.91,15.91,15.35,15.78,30718067.0,479955836.0,1701794667.0,0.018050395618027872
2025-12-17,15.7,15.91,15.55,15.87,20543887.0,323123677.0,1701794667.0,0.012071895275248268
2025-12-18,15.78,16.06,15.69,15.85,21321500.0,339424853.0,1701794667.0,0.012528832304772993
2025-12-19,15.79,16.09,15.77,16.05,22426793.0,359294174.0,1701794667.0,0.01317831900339361
2025-12-22,16.11,16.36,16.07,16.27,23756832.0,386458783.0,1701794667.0,0.013959869813130634
2025-12-23,16.16,16.3,15.92,16.0,19367300.0,311343785.0,1701794667.0,0.011380515155886312
2025-12-24,15.88,16.36,15.87,16.31,24951700.0,405280734.0,1701794667.0,0.014661992121520733
2025-12-25,16.3,16.48,16.27,16.43,21935524.0,360259963.0,1701794667.0,0.012889641991103972
2025-12-26,16.42,16.49,16.24,16.34,20829400.0,340939598.0,1701794667.0,0.012239666984454124
2025-12-29,16.4,16.49,16.36,16.43,21607838.0,354869982.0,1701794667.0,0.01269708879631834
2025-12-30,16.44,16.7,16.3,16.5,28340900.0,468800159.0,1701794667.0,0.016653536733641675
2025-12-31,16.41,16.88,16.31,16.8,42590463.0,708929566.0,1701794667.0,0.025026793082552304
2026-01-05,16.9,17.5,16.7,17.17,60609067.0,1033821877.0,1701794667.0,0.035614794296449634
2026-01-06,17.16,17.78,16.94,17.5,69101482.0,1198677575.0,1701794667.0,0.040605064371141315
2026-01-07,17.49,17.49,17.01,17.03,46657088.0,801290041.0,1701794667.0,0.027416402756890293
2026-01-08,16.97,18.73,16.93,18.73,150695959.0,2751245214.0,1701794667.0,0.08855119946148003
2026-01-09,19.4,19.6,18.9,19.05,158568332.0,3046729770.0,1701794667.0,0.09317712358302978
2026-01-12,20.0,20.02,19.18,19.54,125224331.0,2446668116.0,1701794667.0,0.07358368987061821
2026-01-13,19.25,21.4,18.6,20.38,166559974.0,3261959437.0,1701794667.0,0.09787313195288089
2026-01-14,20.2,20.58,19.41,19.62,111520093.0,2232541771.0,1701794667.0,0.06553087464811053
2026-01-15,19.9,20.51,19.35,19.91,86977113.0,1746032060.0,1701794667.0,0.05110905251179754
2026-01-16,19.67,19.88,19.11,19.11,57919883.0,1122125257.0,1701794667.0,0.03403458955603837
2026-01-19,18.88,19.4,18.81,19.09,44447554.0,850039605.0,1701794667.0,0.026118047530583784
2026-01-20,18.91,19.05,18.1,18.24,56974670.0,1045959987.0,1701794667.0,0.03347916825972754
2026-01-21,18.1,18.37,18.03,18.26,26180703.0,478237325.0,1701794667.0,0.015384172666466583
2026-01-22,18.26,18.69,18.25,18.46,30588465.0,565399425.0,1701794667.0,0.01797423954437624
2026-01-23,18.46,18.58,18.26,18.5,32686312.0,602849680.0,1701794667.0,0.01920696581898502
2026-01-26,18.5,18.5,17.77,17.87,42407729.0,764599782.0,1701794667.0,0.0249194158510076
2026-01-27,17.77,18.02,17.53,17.96,24900602.0,443435463.0,1701794667.0,0.01463196617245011
2026-01-28,17.81,18.04,17.32,17.38,42111020.0,741081039.0,1701794667.0,0.024745065204743646
2026-01-29,17.2,17.46,17.06,17.1,28894549.0,497523653.0,1701794667.0,0.016978869166946332
2026-01-30,17.07,17.27,16.61,16.88,25378930.0,428183283.0,1701794667.0,0.01491303885958176
2026-02-02,16.8,16.99,16.4,16.41,21418480.0,357660952.0,1701794667.0,0.01258581920329875
2026-02-03,16.57,16.86,16.5,16.85,19620190.0,328515265.0,1701794667.0,0.011529117102351338
2026-02-04,16.85,17.09,16.73,16.86,24112200.0,407387750.0,1701794667.0,0.014168689365154767
