trade_date,open,high,low,close,vol,amount,outstanding_share,turnover,ts_code
2025-07-04,29.36,29.38,28.72,28.82,13981734.0,404278055.0,815625024.0,0.017142355357650234,002812.SZ
2025-07-07,28.66,28.9,28.51,28.59,8546047.0,244829638.0,815625024.0,0.010477911722335777,002812.SZ
2025-07-08,28.56,29.47,28.52,29.34,15885389.0,462555672.0,815625024.0,0.019476338430734562,002812.SZ
2025-07-09,29.39,29.45,28.84,28.89,11779617.0,343403870.0,815625024.0,0.014442441873877573,002812.SZ
2025-07-10,28.45,28.92,28.38,28.79,14557270.0,417760594.0,815625024.0,0.01784799334454947,002812.SZ
2025-07-11,28.79,29.07,28.52,28.56,15231105.0,438019932.0,815625024.0,0.018674151174645666,002812.SZ
2025-07-14,28.6,29.22,28.41,28.51,15005890.0,430933717.0,815625024.0,0.01839802551227266,002812.SZ
2025-07-15,28.55,28.71,27.82,28.19,13887701.0,391511317.0,815625055.0,0.017027065211968017,002812.SZ
2025-07-16,28.11,28.44,28.06,28.19,8123162.0,229241399.0,815625055.0,0.009959431665570891,002812.SZ
2025-07-17,28.26,29.2,28.11,29.12,19867733.0,570247277.0,815625055.0,0.02435890471756045,002812.SZ
2025-07-18,29.17,29.57,28.96,29.13,15450414.0,452165367.0,815625055.0,0.018943035044454343,002812.SZ
2025-07-21,29.15,29.24,28.95,29.24,9445214.0,275042168.0,815625055.0,0.011580338222935046,002812.SZ
2025-07-22,29.2,29.86,29.09,29.59,19535835.0,577308953.0,815625055.0,0.02395197999404273,002812.SZ
2025-07-23,29.6,30.17,29.33,29.38,19565899.0,580987662.0,815625055.0,0.023988840068185496,002812.SZ
2025-07-24,29.35,30.35,29.32,30.34,25107213.0,752029898.0,815625055.0,0.030782787809283275,002812.SZ
2025-07-25,30.72,31.1,30.36,30.48,23895248.0,734996540.0,815625055.0,0.02929685380986733,002812.SZ
2025-07-28,30.16,31.04,30.0,30.96,20261293.0,621035368.0,815625055.0,0.024841430355520406,002812.SZ
2025-07-29,30.83,31.35,30.61,31.27,19066641.0,590775388.0,815625055.0,0.02337672302133975,002812.SZ
2025-07-30,31.27,31.34,30.15,30.33,20603513.0,631582992.0,808181358.0,0.02549367514611739,002812.SZ
2025-07-31,30.29,30.45,29.45,29.58,16697068.0,498745548.0,808181358.0,0.020660050909018863,002812.SZ
2025-08-01,29.59,29.94,29.44,29.56,10760223.0,318859972.0,808181358.0,0.013314119279648122,002812.SZ
2025-08-04,29.44,29.52,28.82,29.52,12337228.0,359933417.0,808181358.0,0.01526542016575443,002812.SZ
2025-08-05,29.53,31.87,29.5,30.87,38443646.0,1189110049.0,808181358.0,0.047568093002214484,002812.SZ
2025-08-06,30.71,30.75,30.28,30.64,19777014.0,603164483.0,808181358.0,0.024471009884392804,002812.SZ
2025-08-07,30.63,30.81,30.15,30.39,14647437.0,446119601.0,808181358.0,0.018123948115120962,002812.SZ
2025-08-08,30.36,30.66,30.05,30.07,11344595.0,343159698.0,808181358.0,0.014037189657621378,002812.SZ
2025-08-11,30.48,31.77,30.41,31.72,30252017.0,939619115.0,808181358.0,0.03743221332754374,002812.SZ
2025-08-12,31.68,31.69,31.0,31.33,16931210.0,528598499.0,808181358.0,0.020949765584669672,002812.SZ
